"year","inflation","risk_free_rate","premium_forecast","loss_forecast","operating_expenses","operating_income","net_income","discount_factor","pv_premium","pv_loss","pv_expense","pv_net_income"
2175,0.0228254284552976,0.0485268733930731,25420772.9047563,15252463.7387625,7626231.8714269,7403575.03930907,5486004.12494618,0.953718998888375,24244274.0856929,14546564.4475138,7273282.22570788,5232106.36194117
2176,0.0236732612812875,0.0419596930992494,26022565.5037029,15613539.2980336,7806769.65111087,7578841.80563026,5615875.73398625,0.915312756534366,23818786.1632904,14291271.6941408,7145635.84898712,5140282.69842941
2177,0.0249543363269003,0.0381027594852274,26671941.3553711,16003164.80893,8001582.40661133,7767966.77301633,5756016.18582222,0.881716909208727,23517101.6944542,14110261.0128876,7055130.50833627,5075176.80071858
2178,0.0256851414282989,0.0358375655606807,27357013.9412511,16414208.3603477,8207104.18237533,7967488.09819158,5903860.27561864,0.851211559151622,23286606.490665,13971963.8906512,6985981.9471995,5025434.11022267
2179,0.0257146433133142,0.0345072072944276,28060489.7968677,16836293.8736045,8418146.93906032,8172369.21273965,6055675.93677782,0.822818394255383,23088687.1566783,13853212.290291,6926606.14700348,4982721.55043049
2180,0.0253859249159053,0.0337258820853986,28772831.2839545,17263698.7657419,8631849.38518636,8379832.36395931,6209404.87142392,0.795973486312891,22902410.8281819,13741446.4932232,6870723.24845458,4942521.64343555
2181,0.0250783826753864,0.0332670063842059,29494407.3575479,17696644.4097818,8848322.20726437,8589985.00673828,6365126.7029759,0.770346368745776,22720909.6061957,13632545.7600606,6816272.88185871,4903352.24224425
2182,0.0249637566217732,0.032997506684578,30230698.5645251,18138419.1338497,9069209.56935754,8804423.30183117,6524024.17685573,0.745738846183874,22544206.2668415,13526523.7564765,6763261.88005244,4865218.26212409
2183,0.0250109201256675,0.0328392283361914,30986796.1516656,18592077.6860123,9296038.84549968,9024630.02978583,6687196.024441,0.722028003705078,22373334.5666033,13424000.7363612,6712000.369981,4828342.79591167
2184,0.0251086756228007,0.0327462707722216,31764833.5648276,19058900.1337842,9529450.06944829,9251226.53781951,6855102.66024477,0.699133973309041,22207874.3016783,13324724.5774328,6662362.2905035,4792635.1602983
